♣J,♦2,♣9,♠9,♠4,(1) One pair
♣6,♥K,♦2,♠10,♥2,(1) One pair
♠5,♣J,♣2,♥K,♦2,(1) One pair
♠5,♣J,♣2,♥K,♠K,(1) One pair
♠5,♣J,♣2,♥K,♥2,(1) One pair
♠5,♣J,♣2,♦2,♦3,(1) One pair
♠5,♣J,♣2,♦2,♣9,(1) One pair
♠5,♣J,♣2,♦2,♠9,(1) One pair
♠5,♣J,♣2,♦2,♠K,(1) One pair
♠5,♣J,♣2,♦2,♠10,(1) One pair
♠5,♣J,♣2,♦2,♠4,(1) One pair
♠5,♣J,♣2,♦3,♥2,(1) One pair
♠5,♣J,♣2,♣9,♠9,(1) One pair
♠5,♣J,♣2,♣9,♥2,(1) One pair
♠5,♣J,♣2,♠9,♥2,(1) One pair
♠5,♣J,♣2,♠K,♥2,(1) One pair
♠5,♣J,♣2,♠10,♥2,(1) One pair
♠5,♣J,♣2,♠4,♥2,(1) One pair
♠5,♣J,♣6,♥K,♠K,(1) One pair
♠5,♣J,♣6,♦2,♥2,(1) One pair
♠5,♣J,♣6,♣9,♠9,(1) One pair
♠5,♣J,♥K,♦2,♠K,(1) One pair
♠5,♣J,♥K,♦2,♥2,(1) One pair
♠5,♣J,♥K,♦3,♠K,(1) One pair
♠5,♣J,♥K,♣9,♠9,(1) One pair
♠5,♣J,♥K,♣9,♠K,(1) One pair
♠5,♣J,♥K,♠9,♠K,(1) One pair
♠5,♣J,♥K,♠K,♠10,(1) One pair
♠5,♣J,♥K,♠K,♠4,(1) One pair
♠5,♣J,♥K,♠K,♥2,(1) One pair
♠5,♣J,♦2,♦3,♥2,(1) One pair
♠5,♣J,♦2,♣9,♠9,(1) One pair
♠5,♣J,♦2,♣9,♥2,(1) One pair
♠5,♣J,♦2,♠9,♥2,(1) One pair
♠5,♣J,♦2,♠K,♥2,(1) One pair
♠5,♣J,♦2,♠10,♥2,(1) One pair
♠5,♣J,♦2,♠4,♥2,(1) One pair
♠5,♣J,♦3,♣9,♠9,(1) One pair
♠5,♣J,♣9,♠9,♠K,(1) One pair
♠5,♣J,♣9,♠9,♠10,(1) One pair
♠5,♣J,♣9,♠9,♠4,(1) One pair
♠5,♣J,♣9,♠9,♥2,(1) One pair
♠5,♣2,♣6,♥K,♦2,(1) One pair
♠5,♣2,♣6,♥K,♠K,(1) One pair
♠5,♣2,♣6,♥K,♥2,(1) One pair
♠5,♣2,♣6,♦2,♦3,(1) One pair
♠5,♣2,♣6,♦2,♣9,(1) One pair
♠5,♣2,♣6,♦2,♠9,(1) One pair
♠5,♣2,♣6,♦2,♠K,(1) One pair
♠5,♣2,♣6,♦2,♠10,(1) One pair
♠5,♣2,♣6,♦2,♠4,(1) One pair
♠5,♣2,♣6,♦3,♥2,(1) One pair
♠5,♣2,♣6,♣9,♠9,(1) One pair
♠5,♣2,♣6,♣9,♥2,(1) One pair
♠5,♣2,♣6,♠9,♥2,(1) One pair
♠5,♣2,♣6,♠K,♥2,(1) One pair
♠5,♣2,♣6,♠10,♥2,(1) One pair
♠5,♣2,♣6,♠4,♥2,(1) One pair
♠5,♣2,♥K,♦2,♦3,(1) One pair
♠5,♣2,♥K,♦2,♣9,(1) One pair
♠5,♣2,♥K,♦2,♠9,(1) One pair
♠5,♣2,♥K,♦2,♠10,(1) One pair
♠5,♣2,♥K,♦2,♠4,(1) One pair
♣9,♠9,♠10,♠4,♥2,(1) One pair
♣9,♠9,♠K,♠4,♥2,(1) One pair
♣9,♠9,♠K,♠10,♥2,(1) One pair
♣9,♠9,♠K,♠10,♠4,(1) One pair
♠5,♣2,♥K,♦3,♠K,(1) One pair
♠5,♣2,♥K,♦3,♥2,(1) One pair
♠5,♣2,♥K,♣9,♠9,(1) One pair
♠5,♣2,♥K,♣9,♠K,(1) One pair
♠5,♣2,♥K,♣9,♥2,(1) One pair
♠5,♣2,♥K,♠9,♠K,(1) One pair
♠5,♣2,♥K,♠9,♥2,(1) One pair
♠5,♣2,♥K,♠K,♠10,(1) One pair
♠5,♣2,♥K,♠K,♠4,(1) One pair
♦3,♣9,♠9,♠4,♥2,(1) One pair
♠5,♣2,♥K,♠10,♥2,(1) One pair
♠5,♣2,♥K,♠4,♥2,(1) One pair
♠5,♣2,♦2,♦3,♣9,(1) One pair
♠5,♣2,♦2,♦3,♠9,(1) One pair
♠5,♣2,♦2,♦3,♠K,(1) One pair
♠5,♣2,♦2,♦3,♠10,(1) One pair
♠5,♣2,♦2,♦3,♠4,(1) One pair
♦3,♣9,♠9,♠10,♥2,(1) One pair
♦3,♣9,♠9,♠10,♠4,(1) One pair
♠5,♣2,♦2,♣9,♠K,(1) One pair
♠5,♣2,♦2,♣9,♠10,(1) One pair
♠5,♣2,♦2,♣9,♠4,(1) One pair
♦3,♣9,♠9,♠K,♥2,(1) One pair
♠5,♣2,♦2,♠9,♠K,(1) One pair
♠5,♣2,♦2,♠9,♠10,(1) One pair
♠5,♣2,♦2,♠9,♠4,(1) One pair
♦3,♣9,♠9,♠K,♠4,(1) One pair
♠5,♣2,♦2,♠K,♠10,(1) One pair
♠5,♣2,♦2,♠K,♠4,(1) One pair
♦3,♣9,♠9,♠K,♠10,(1) One pair
♠5,♣2,♦2,♠10,♠4,(1) One pair
♦2,♠K,♠10,♠4,♥2,(1) One pair
♦2,♠9,♠10,♠4,♥2,(1) One pair
♠5,♣2,♦3,♣9,♠9,(1) One pair
♠5,♣2,♦3,♣9,♥2,(1) One pair
♠5,♣2,♦3,♠9,♥2,(1) One pair
♠5,♣2,♦3,♠K,♥2,(1) One pair
♠5,♣2,♦3,♠10,♥2,(1) One pair
♠5,♣2,♦3,♠4,♥2,(1) One pair
♠5,♣2,♣9,♠9,♠K,(1) One pair
♠5,♣2,♣9,♠9,♠10,(1) One pair
♠5,♣2,♣9,♠9,♠4,(1) One pair
♦2,♠9,♠K,♠4,♥2,(1) One pair
♠5,♣2,♣9,♠K,♥2,(1) One pair
♠5,♣2,♣9,♠10,♥2,(1) One pair
♠5,♣2,♣9,♠4,♥2,(1) One pair
♠5,♣2,♠9,♠K,♥2,(1) One pair
♠5,♣2,♠9,♠10,♥2,(1) One pair
♠5,♣2,♠9,♠4,♥2,(1) One pair
♠5,♣2,♠K,♠10,♥2,(1) One pair
♠5,♣2,♠K,♠4,♥2,(1) One pair
♠5,♣2,♠10,♠4,♥2,(1) One pair
♠5,♣6,♥K,♦2,♠K,(1) One pair
♠5,♣6,♥K,♦2,♥2,(1) One pair
♠5,♣6,♥K,♦3,♠K,(1) One pair
♠5,♣6,♥K,♣9,♠9,(1) One pair
♠5,♣6,♥K,♣9,♠K,(1) One pair
♠5,♣6,♥K,♠9,♠K,(1) One pair
♠5,♣6,♥K,♠K,♠10,(1) One pair
♠5,♣6,♥K,♠K,♠4,(1) One pair
♠5,♣6,♥K,♠K,♥2,(1) One pair
♦2,♠9,♠K,♠10,♥2,(1) One pair
♦2,♣9,♠10,♠4,♥2,(1) One pair
♠5,♣6,♦2,♦3,♥2,(1) One pair
♠5,♣6,♦2,♣9,♠9,(1) One pair
♠5,♣6,♦2,♣9,♥2,(1) One pair
♠5,♣6,♦2,♠9,♥2,(1) One pair
♠5,♣6,♦2,♠K,♥2,(1) One pair
♣J,♦2,♣9,♠9,♠K,(1) One pair
♠5,♣6,♦2,♠4,♥2,(1) One pair
♠5,♣6,♦3,♣9,♠9,(1) One pair
♦2,♣9,♠K,♠4,♥2,(1) One pair
♠5,♣6,♣9,♠9,♠K,(1) One pair
♠5,♣6,♣9,♠9,♠10,(1) One pair
♠5,♣6,♣9,♠9,♠4,(1) One pair
♠5,♣6,♣9,♠9,♥2,(1) One pair
♠5,♥K,♦2,♦3,♠K,(1) One pair
♠5,♥K,♦2,♦3,♥2,(1) One pair
♠5,♥K,♦2,♣9,♠9,(1) One pair
♠5,♥K,♦2,♣9,♠K,(1) One pair
♠5,♥K,♦2,♣9,♥2,(1) One pair
♠5,♥K,♦2,♠9,♠K,(1) One pair
♠5,♥K,♦2,♠9,♥2,(1) One pair
♠5,♥K,♦2,♠K,♠10,(1) One pair
♠5,♥K,♦2,♠K,♠4,(1) One pair
♦2,♣9,♠K,♠10,♥2,(1) One pair
♠5,♥K,♦2,♠10,♥2,(1) One pair
♠5,♥K,♦2,♠4,♥2,(1) One pair
♠5,♥K,♦3,♣9,♠9,(1) One pair
