♣J,♣3,♦7,♥7,♠6,(1) One pair
♣J,♦6,♦7,♠6,♣A,(1) One pair
♣J,♦6,♥2,♦7,♦J,(1) One pair
♣J,♦6,♥2,♦7,♥7,(1) One pair
♣J,♦6,♥2,♣3,♦J,(1) One pair
♣J,♦6,♥2,♦J,♥7,(1) One pair
♦7,♦J,♥7,♠6,♣A,(1) One pair
♣J,♦6,♥2,♦J,♣A,(1) One pair
♣J,♦6,♥2,♥7,♠6,(1) One pair
♣J,♦6,♥2,♠6,♣A,(1) One pair
♣J,♦6,♣3,♦7,♦J,(1) One pair
♣J,♣3,♦J,♥7,♠6,(1) One pair
♣J,♦6,♣3,♦7,♠6,(1) One pair
♣J,♦6,♣3,♦J,♥7,(1) One pair
♣3,♦7,♥7,♠6,♣A,(1) One pair
♣J,♦6,♣3,♦J,♣A,(1) One pair
♣J,♦6,♣3,♥7,♠6,(1) One pair
♣J,♦6,♣3,♠6,♣A,(1) One pair
♣3,♦7,♦J,♥7,♣A,(1) One pair
♣3,♦7,♦J,♥7,♠6,(1) One pair
♣J,♦6,♦7,♦J,♣A,(1) One pair
♥2,♦7,♥7,♠6,♣A,(1) One pair
♣J,♦6,♦7,♥7,♣A,(1) One pair
♣J,♣3,♦7,♥7,♣A,(1) One pair
♥2,♦7,♦J,♥7,♣A,(1) One pair
♣J,♦6,♦J,♥7,♣A,(1) One pair
♥2,♦7,♦J,♥7,♠6,(1) One pair
♣J,♦6,♥7,♠6,♣A,(1) One pair
♣J,♥2,♣3,♦7,♦J,(1) One pair
♣J,♥2,♣3,♦7,♥7,(1) One pair
♣J,♥2,♣3,♦J,♥7,(1) One pair
♣J,♥2,♣3,♦J,♠6,(1) One pair
♣J,♥2,♣3,♦J,♣A,(1) One pair
♥2,♣3,♦7,♥7,♣A,(1) One pair
♣J,♥2,♦7,♦J,♠6,(1) One pair
♣J,♥2,♦7,♦J,♣A,(1) One pair
♣J,♥2,♦7,♥7,♠6,(1) One pair
♣J,♥2,♦7,♥7,♣A,(1) One pair
♣J,♥2,♦J,♥7,♠6,(1) One pair
♣J,♥2,♦J,♥7,♣A,(1) One pair
♣J,♥2,♦J,♠6,♣A,(1) One pair
♥2,♣3,♦7,♥7,♠6,(1) One pair
♣J,♣3,♦7,♦J,♠6,(1) One pair
♣J,♣3,♦7,♦J,♣A,(1) One pair
♣J,♦6,♥2,♦7,♠6,(1) One pair
♣J,♦6,♥2,♣3,♠6,(1) One pair
♣J,♦6,♣3,♦7,♥7,(1) One pair
♣J,♣3,♦J,♥7,♣A,(1) One pair
♣J,♣3,♦J,♠6,♣A,(1) One pair
♥2,♣3,♦7,♦J,♥7,(1) One pair
♦6,♦J,♥7,♠6,♣A,(1) One pair
♣J,♦7,♦J,♠6,♣A,(1) One pair
♣J,♦7,♥7,♠6,♣A,(1) One pair
♣J,♦J,♥7,♠6,♣A,(1) One pair
♦6,♥2,♣3,♦7,♥7,(1) One pair
♦6,♥2,♣3,♦7,♠6,(1) One pair
♦6,♥2,♣3,♦J,♠6,(1) One pair
♦6,♥2,♣3,♥7,♠6,(1) One pair
♦6,♥2,♣3,♠6,♣A,(1) One pair
♦6,♥2,♦7,♦J,♥7,(1) One pair
♦6,♥2,♦7,♦J,♠6,(1) One pair
♦6,♦7,♦J,♠6,♣A,(1) One pair
♦6,♥2,♦7,♥7,♣A,(1) One pair
♦6,♥2,♦7,♠6,♣A,(1) One pair
♦6,♥2,♦J,♥7,♠6,(1) One pair
♦6,♥2,♦J,♠6,♣A,(1) One pair
♦6,♥2,♥7,♠6,♣A,(1) One pair
♦6,♣3,♦7,♦J,♥7,(1) One pair
♦6,♣3,♦7,♦J,♠6,(1) One pair
♦6,♦7,♦J,♥7,♣A,(1) One pair
♦6,♣3,♦7,♥7,♣A,(1) One pair
♦6,♣3,♦7,♠6,♣A,(1) One pair
♦6,♣3,♦J,♥7,♠6,(1) One pair
♦6,♣3,♦J,♠6,♣A,(1) One pair
♦6,♣3,♥7,♠6,♣A,(1) One pair
♣J,♦7,♦J,♥7,♠6,(2) Two pairs
♣J,♦6,♦J,♠6,♣A,(2) Two pairs
♦6,♥2,♦7,♥7,♠6,(2) Two pairs
♣J,♥2,♦7,♦J,♥7,(2) Two pairs
♣J,♦7,♦J,♥7,♣A,(2) Two pairs
♦6,♦7,♦J,♥7,♠6,(2) Two pairs
♦6,♣3,♦7,♥7,♠6,(2) Two pairs
♦6,♦7,♥7,♠6,♣A,(2) Two pairs
♣J,♣3,♦7,♦J,♥7,(2) Two pairs
♣J,♦6,♦J,♥7,♠6,(2) Two pairs
♣J,♦6,♦7,♥7,♠6,(2) Two pairs
♣J,♦6,♦7,♦J,♠6,(2) Two pairs
♣J,♦6,♦7,♦J,♥7,(2) Two pairs
♣J,♦6,♣3,♦J,♠6,(2) Two pairs
♣J,♦6,♥2,♦J,♠6,(2) Two pairs
