♣J,♦4,♣8,♥6,♦8,(1) One pair
♣J,♥2,♠2,♥4,♠K,(1) One pair
♥J,♣J,♦4,♥10,♦7,(1) One pair
♥J,♣J,♦4,♥10,♦9,(1) One pair
♥J,♣J,♦4,♥10,♠2,(1) One pair
♥J,♣J,♦4,♥10,♥6,(1) One pair
♥J,♣J,♦4,♥10,♦8,(1) One pair
♥J,♣J,♦4,♥10,♠K,(1) One pair
♥J,♣J,♦4,♥2,♣8,(1) One pair
♥J,♣J,♦4,♥2,♦7,(1) One pair
♥J,♣J,♦4,♥2,♦9,(1) One pair
♥J,♣J,♦4,♥2,♥6,(1) One pair
♥J,♣J,♦4,♥2,♦8,(1) One pair
♥J,♣J,♦4,♥2,♠K,(1) One pair
♥J,♣J,♦4,♣8,♦7,(1) One pair
♥J,♣J,♦4,♣8,♦9,(1) One pair
♥J,♣J,♦4,♣8,♠2,(1) One pair
♥J,♣J,♦4,♣8,♥6,(1) One pair
♣8,♥4,♥6,♦8,♠K,(1) One pair
♣8,♠2,♥6,♦8,♠K,(1) One pair
♣8,♠2,♥4,♦8,♠K,(1) One pair
♣8,♠2,♥4,♥6,♦8,(1) One pair
♣8,♦9,♥6,♦8,♠K,(1) One pair
♥J,♣J,♦4,♣8,♠K,(1) One pair
♥J,♣J,♦4,♦7,♦9,(1) One pair
♥J,♣J,♦4,♦7,♠2,(1) One pair
♣8,♦9,♥4,♦8,♠K,(1) One pair
♥J,♣J,♦4,♦7,♥6,(1) One pair
♥J,♣J,♦4,♦7,♦8,(1) One pair
♥J,♣J,♦4,♦7,♠K,(1) One pair
♥J,♣J,♦4,♦9,♠2,(1) One pair
♣8,♦9,♥4,♥6,♦8,(1) One pair
♥J,♣J,♦4,♦9,♥6,(1) One pair
♥J,♣J,♦4,♦9,♦8,(1) One pair
♥J,♣J,♦4,♦9,♠K,(1) One pair
♣8,♦9,♠2,♦8,♠K,(1) One pair
♥J,♣J,♦4,♠2,♥6,(1) One pair
♥J,♣J,♦4,♠2,♦8,(1) One pair
♥J,♣J,♦4,♠2,♠K,(1) One pair
♣8,♦9,♠2,♥6,♦8,(1) One pair
♣8,♦9,♠2,♥4,♦8,(1) One pair
♣8,♦7,♥6,♦8,♠K,(1) One pair
♥J,♣J,♦4,♥6,♦8,(1) One pair
♥J,♣J,♦4,♥6,♠K,(1) One pair
♥J,♣J,♦4,♦8,♠K,(1) One pair
♥J,♣J,♥10,♥2,♣8,(1) One pair
♥J,♣J,♥10,♥2,♦7,(1) One pair
♥J,♣J,♥10,♥2,♦9,(1) One pair
♣8,♦7,♥4,♦8,♠K,(1) One pair
♥J,♣J,♥10,♥2,♥4,(1) One pair
♥J,♣J,♥10,♥2,♥6,(1) One pair
♥J,♣J,♥10,♥2,♦8,(1) One pair
♥J,♣J,♥10,♥2,♠K,(1) One pair
♥J,♣J,♥10,♣8,♦7,(1) One pair
♥J,♣J,♥10,♣8,♦9,(1) One pair
♥J,♣J,♥10,♣8,♠2,(1) One pair
♥J,♣J,♥10,♣8,♥4,(1) One pair
♥J,♣J,♥10,♣8,♥6,(1) One pair
♣8,♦7,♥4,♥6,♦8,(1) One pair
♥J,♣J,♥10,♣8,♠K,(1) One pair
♥J,♣J,♥10,♦7,♦9,(1) One pair
♥J,♣J,♥10,♦7,♠2,(1) One pair
