♥A,♥2,♥7,♣9,♣A,(1) One pair
♦6,♦10,♥2,♣A,♠6,(1) One pair
♦6,♦K,♥A,♦10,♠6,(1) One pair
♦6,♦K,♥A,♥2,♠2,(1) One pair
♦6,♦K,♥A,♥2,♥6,(1) One pair
♦6,♦K,♥A,♥2,♣A,(1) One pair
♦6,♦K,♥A,♥2,♠6,(1) One pair
♦6,♦K,♥A,♥7,♥6,(1) One pair
♦6,♦K,♥A,♥7,♣A,(1) One pair
♦6,♦K,♥A,♥7,♠6,(1) One pair
♦6,♦K,♥A,♣9,♥6,(1) One pair
♦6,♦K,♥A,♣9,♣A,(1) One pair
♦6,♦K,♥A,♣9,♠6,(1) One pair
♦6,♦K,♥A,♠2,♥6,(1) One pair
♦6,♦K,♥A,♠2,♣A,(1) One pair
♦6,♦K,♥A,♠2,♠6,(1) One pair
♦6,♦K,♥A,♠3,♥6,(1) One pair
♦6,♦K,♥A,♠3,♣A,(1) One pair
♦6,♦K,♥A,♠3,♠6,(1) One pair
♠2,♠3,♥6,♣A,♠6,(1) One pair
♣9,♠3,♥6,♣A,♠6,(1) One pair
♣9,♠2,♥6,♣A,♠6,(1) One pair
♦6,♦K,♦10,♥2,♠2,(1) One pair
♦6,♦K,♦10,♥2,♥6,(1) One pair
♦6,♦K,♦10,♥2,♠6,(1) One pair
♦6,♦K,♦10,♥7,♥6,(1) One pair
♦6,♦K,♦10,♥7,♠6,(1) One pair
♦6,♦K,♦10,♣9,♥6,(1) One pair
♦6,♦K,♦10,♣9,♠6,(1) One pair
♦6,♦K,♦10,♠2,♥6,(1) One pair
♦6,♦K,♦10,♠2,♠6,(1) One pair
♦6,♦K,♦10,♠3,♥6,(1) One pair
♦6,♦K,♦10,♠3,♠6,(1) One pair
♦6,♦K,♦10,♥6,♣A,(1) One pair
♣9,♠2,♠3,♥6,♠6,(1) One pair
♦6,♦K,♦10,♣A,♠6,(1) One pair
♦6,♦K,♥2,♥7,♠2,(1) One pair
♦6,♦K,♥2,♥7,♥6,(1) One pair
♦6,♦K,♥2,♥7,♠6,(1) One pair
♦6,♦K,♥2,♣9,♠2,(1) One pair
♦6,♦K,♥2,♣9,♥6,(1) One pair
♦6,♦K,♥2,♣9,♠6,(1) One pair
